X_Minimum;X_Maximum;X_Rank;Y_Minimum;Y_Maximum;Y_Rank;Pixels_Areas;X_Perimeter;Y_Perimeter;Sum_of_Luminosity;Minimum_of_Luminosity;Maximum_of_Luminosity;Luminosity_Rank;Length_of_Conveyer;TypeOfSteel_A300;TypeOfSteel_A400;Steel_Plate_Thickness;Edges_Index;Empty_Index;Square_Index;Outside_X_Index;Edges_X_Index;Edges_Y_Index;Outside_Global_Index;LogOfAreas;Log_X_Index;Log_Y_Index;Orientation_Index;Luminosity_Index;SigmoidOfAreas;Class
2;10;8;421204;421233;29;161;13;29;18711;103;133;30;1687;0;1;200;24;306;2759;47;6154;1;1;22068;9031;14624;7241;-921;385;1
0;12;12;430948;430980;32;304;18;32;34142;90;133;43;1687;0;1;200;0;2083;375;71;6667;1;1;24829;10792;15051;625;-1226;633;1
0;11;11;444148;444169;21;161;12;21;18047;96;133;37;1687;0;1;200;0;303;5238;65;9167;1;1;22068;10414;13222;4762;-1243;3834;1
2;8;6;448681;448720;39;137;18;39;18013;121;143;22;1687;0;1;200;24;4145;1539;36;3333;1;1;21367;7782;15911;8461;272;3882;1
4;12;8;455227;455253;26;125;15;26;14353;102;126;24;1687;0;1;200;47;399;3077;47;5333;1;1;20969;9031;1415;6923;-1029;3479;1
0;8;8;464503;464538;35;189;18;35;21380;99;127;28;1687;0;1;200;0;325;2286;47;4444;1;1;22765;9031;15441;7714;-1162;463;1
28;36;8;3213793;3213815;22;124;16;22;14618;97;141;44;1658;1;0;100;338;2955;3636;48;5;1;1;20934;9031;13424;6364;-79;3012;1
25;33;8;3277804;3277821;17;91;15;17;10957;105;141;36;1658;1;0;100;302;3309;4706;48;5333;1;1;1959;9031;12305;5294;-593;2482;1
1343;1351;8;46714;46725;11;56;11;11;5729;90;117;27;1362;1;0;70;161;3636;7273;59;7273;1;1;17482;9031;10414;2727;-2007;1934;1
0;4;4;224005;224035;30;83;18;31;7446;71;108;37;1360;1;0;70;0;3083;1333;29;2222;9677;1;19191;6021;14771;8667;-2991;2288;1
2;10;8;1798872;1798895;23;131;16;23;12909;81;117;36;1698;0;1;90;24;288;3478;47;5;1;1;21173;9031;13617;6522;-2301;3125;1
1273;1283;10;167280;167335;55;313;33;58;29386;86;103;17;1353;0;1;185;1035;4309;1818;74;303;9483;1;24955;1;17404;8182;-2665;8391;1
25;34;9;281358;281513;155;891;36;155;76438;70;103;33;1353;0;1;185;369;3613;581;66;25;1;1;29499;9542;21903;9419;-3298;9993;1
1206;1214;8;308931;308956;25;134;12;25;14838;100;119;19;1353;0;1;185;2055;33;32;59;6667;1;1;21271;9031;13979;68;-1349;3359;1
71;79;8;471955;472005;50;230;22;50;23697;93;118;25;1353;0;1;185;105;425;16;59;3636;1;1;23617;9031;1699;84;-1951;6574;1
1144;1158;14;113260;113277;17;120;26;17;15146;117;140;23;1372;0;1;40;3119;4958;8235;102;5385;1;1;20792;11461;12305;1765;-139;3945;1
804;817;13;151240;151265;25;133;32;25;16759;114;134;20;1372;0;1;40;809;5908;52;95;4063;1;1;21239;11139;13979;48;-156;5378;1
845;857;12;189673;189695;22;103;25;26;13299;122;142;20;1372;0;1;40;7507;6098;5454;88;48;8461;1;20128;10792;13424;4545;87;4366;1
798;808;10;225718;225742;24;170;23;24;21545;118;141;23;1370;0;1;40;8204;2917;4167;73;4348;1;1;22304;1;13802;5833;-99;3977;1
1090;1103;13;255155;255186;31;168;37;33;21640;119;143;24;1374;0;1;40;3945;5831;4193;95;3514;9394;1;22253;11139;14914;5806;63;6619;1
806;828;22;300303;300316;13;125;35;18;16258;118;140;22;1372;0;1;40;793;5629;5909;16;6286;7222;0;20969;13424;11139;-4091;161;4729;1
963;974;11;657468;657502;34;201;38;35;26197;123;141;18;1372;0;1;40;5802;4626;3235;8;2895;9714;1;23032;10414;15315;6765;182;6173;1
387;396;9;695980;696006;26;169;25;26;17587;96;118;22;1372;0;1;40;5641;2778;3462;66;36;1;1;22279;9542;1415;6539;-187;3882;1
973;989;16;707576;707600;24;150;47;28;19311;120;141;21;1374;0;1;40;5604;6094;6667;116;3404;8571;1;21761;12041;13802;3333;58;633;1
1020;1034;14;720705;720720;15;103;24;17;13577;125;142;17;1372;0;1;40;4927;5095;9333;102;5833;8824;1;20128;11461;11761;667;298;3509;1
317;335;18;732308;732327;19;146;36;29;18123;114;133;19;1372;0;1;40;4621;5731;9474;131;5;6552;1;21644;12553;12787;526;-302;5659;1
1021;1036;15;754445;754492;47;294;51;49;39987;127;157;30;1372;0;1;40;4898;583;3192;109;2941;9592;1;24683;11761;16721;6809;626;9361;1
401;415;14;762911;762937;26;198;42;34;24783;118;134;16;1372;0;1;40;5846;456;5385;102;3333;7647;1;22967;11461;1415;4615;-221;6015;1
1082;1095;13;825488;825519;31;192;34;32;24530;120;140;20;1374;0;1;40;4061;5236;4193;95;3823;9688;1;22833;11139;14914;5806;-19;6619;1
1050;1071;21;856766;856784;18;180;33;23;22591;119;135;16;1376;0;1;40;4433;5238;8571;153;6364;7826;0;22553;13222;12553;-1429;-195;6236;1
979;989;10;891060;891079;19;107;18;19;12543;110;132;22;1372;0;1;40;5583;4368;5263;73;5556;1;1;20294;1;12787;4737;-842;3212;1
346;357;11;900068;900098;30;182;29;30;22232;115;133;18;1370;0;1;40;5051;4485;3667;8;3793;1;1;22601;10414;14771;6333;-457;5461;1
997;1009;12;920577;920619;42;264;38;42;30966;106;132;26;1374;0;1;40;5313;4762;2857;87;3158;1;1;24216;10792;16233;7143;-836;7933;1
357;373;16;929482;929513;31;213;42;39;20512;80;118;38;1374;0;1;40;5196;5706;5161;116;381;7949;1;23284;12041;14914;4839;-2476;7844;1
373;386;13;1058240;1058279;39;308;29;39;37264;113;132;19;1374;0;1;40;5429;3925;3333;95;4483;1;1;24885;11139;15911;6667;-548;7966;1
365;374;9;1084192;1084238;46;265;39;46;26849;88;119;31;1372;0;1;40;5321;3599;1956;66;2308;1;1;24232;9542;16628;8044;-2085;6781;1
357;378;21;1090984;1091013;29;229;53;37;27597;111;134;23;1372;0;1;40;5204;624;7241;153;3962;7838;1;23598;13222;14624;2759;-585;8854;1
349;362;13;1115618;1115654;36;270;34;38;28445;96;126;30;1372;0;1;40;5088;4231;3611;95;3823;9474;1;24314;11139;15563;6389;-1769;7512;1
347;364;17;1124976;1125024;48;390;51;50;46226;110;127;17;1372;0;1;40;5058;5221;3542;124;3333;96;1;25911;12305;16812;6458;-74;9685;1
277;292;15;1151809;1151838;29;217;32;32;25231;107;126;19;1376;0;1;40;4026;5012;5172;109;4688;9063;1;23365;11761;14624;4828;-916;7079;1
827;834;7;1930709;1930720;11;56;11;11;6337;97;132;35;1356;0;1;40;7699;2727;6364;52;6364;1;1;17482;8451;10414;3636;-1159;1822;1
1057;1069;12;114430;114444;14;114;21;14;12693;90;140;50;1362;0;1;185;4302;3214;8571;88;5714;1;1;20569;10792;11461;1429;-1301;2901;1
1181;1191;10;210828;210843;15;99;15;15;10868;92;140;48;1360;0;1;175;2485;34;6667;74;6667;1;1;19956;1;11761;3333;-1424;266;1
1302;1314;12;165248;165281;33;244;24;33;23009;66;124;58;1358;0;1;175;648;3838;3636;88;5;1;1;23874;10792;15185;6364;-2633;6514;1
1281;1289;8;212793;212803;10;56;9;10;5712;89;117;28;1366;0;1;100;1127;3;8;59;8889;1;1;17482;9031;1;2;-2031;1852;1
264;280;16;1230964;1230988;24;303;20;24;29885;54;133;79;1696;0;1;60;3113;2109;6667;94;8;1;1;24814;12041;13802;3333;-2295;633;1
136;151;15;1294504;1294539;35;308;30;35;31689;79;124;45;1698;0;1;60;1602;4133;4286;88;5;1;1;24885;11761;15441;5714;-1962;8153;1
232;241;9;1384749;1384772;23;139;19;23;15080;89;126;37;1696;0;1;60;2736;3285;3913;53;4737;1;1;2143;9542;13617;6087;-1524;3464;1
272;284;12;226474;226495;21;187;20;21;13351;49;101;52;1362;1;0;200;3994;2579;5714;88;6;1;1;22718;10792;13222;4286;-4422;417;1
235;398;163;739072;739080;8;872;165;53;95600;103;119;16;1387;0;1;40;3389;3313;491;1175;9879;1509;0;29405;22122;9031;-9509;-1435;9987;1
525;563;38;1054602;1054610;8;170;44;15;21321;118;134;16;1687;0;1;200;6224;4408;2105;225;8636;5333;0;22304;15798;9031;-7895;-202;5029;1
916;1142;226;810184;810291;107;1753;249;132;202897;101;135;34;1358;0;1;40;3181;9275;4735;1664;9076;8106;0;32438;23541;20294;-5265;-958;1;1
1063;1072;9;1915213;1915220;7;49;9;7;6391;118;141;23;1358;0;1;50;4212;2222;7778;66;1;1;0;16902;9542;8451;-2222;19;1687;1
77;114;37;1259448;1259470;22;383;81;59;39202;96;111;15;1376;0;1;40;1119;5295;5946;269;4568;3729;0;25832;15682;13424;-4054;-2004;9681;1
545;583;38;425925;425936;11;162;46;27;17260;99;126;27;1360;0;1;40;8015;6124;2895;279;8261;4074;0;22095;15798;10414;-7105;-1676;6839;1
449;588;139;1019477;1019497;20;1107;155;85;128883;107;126;19;1353;0;1;70;6637;6018;1439;1027;8968;2353;0;30442;2143;1301;-8561;-904;1;1
781;801;20;1045940;1045960;20;178;60;39;22761;120;135;15;1353;0;1;70;816;555;1;148;3333;5128;5;22504;1301;1301;0;-1;6574;1
48;116;68;548048;548050;2;131;68;3;16504;54;190;136;1227;0;1;40;782;368;294;554;1;6667;0;21173;18325;301;-9706;-157;2482;1
768;918;150;370947;370955;8;660;153;61;89110;113;156;43;1360;1;0;80;65;45;533;1103;9804;1312;0;28195;21761;9031;-9467;548;9975;1
505;522;17;1998060;1998064;4;29;18;6;3489;116;126;10;1358;0;1;50;7437;5735;2353;125;9444;6667;0;14624;12305;6021;-7647;-601;1734;1
301;340;39;903475;903521;46;1228;69;64;124716;55;126;71;1666;0;1;40;3613;3155;8478;234;5652;7188;1;30892;15911;16628;1522;-2066;9999;1
642;744;102;942520;942532;12;536;118;52;61209;106;127;21;1670;0;1;40;7689;5621;1177;611;8644;2308;0;27292;20086;10792;-8824;-1078;9979;1
867;1104;237;949655;949669;14;1695;247;106;197365;103;132;29;1668;0;1;40;6763;4891;591;1421;9595;1321;0;32292;23747;11461;-9409;-903;1;1
517;626;109;982032;982049;17;955;136;80;104555;99;119;20;1666;0;1;40;6206;4846;156;654;8015;2125;0;298;20374;12305;-844;-1447;1;1
1033;1050;17;181432;181441;9;75;28;15;10500;134;149;15;1664;0;1;40;738;5098;5294;102;6071;6;0;18751;12305;9542;-4706;938;2699;1
647;667;20;2162587;2162594;7;62;24;15;5744;82;109;27;1370;1;0;80;9445;5571;35;146;8333;4667;0;17924;1301;8451;-65;-2762;2532;1
796;822;26;2182560;2182564;4;68;26;11;6013;79;101;22;1370;1;0;80;8;3462;1539;19;1;3636;0;18325;1415;6021;-8461;-3092;2105;1
1037;1055;18;2195695;2195707;12;78;29;18;9512;111;135;24;1370;1;0;80;4599;6389;6667;131;6207;6667;0;18921;12553;10792;-3333;-473;3601;1
1019;1035;16;2224815;2224820;5;49;17;5;5842;108;140;32;1366;1;0;80;4846;3875;3125;117;9412;1;0;16902;12041;699;-6875;-686;1852;1
1105;1130;25;2240686;2240690;4;57;25;8;5917;92;117;25;1364;1;0;80;3431;43;16;183;1;5;0;17559;13979;6021;-84;-189;2061;1
922;941;19;2253261;2253265;4;52;19;7;5111;89;110;21;1360;1;0;80;6162;3158;2105;14;1;5714;0;1716;12787;6021;-7895;-2321;1812;1
1137;1154;17;2265683;2265692;9;77;25;16;8170;95;119;24;1356;1;0;80;2979;4967;5294;125;68;5625;0;18865;12305;9542;-4706;-1711;2699;1
344;353;9;2278012;2278020;8;46;10;8;5003;95;127;32;1354;1;0;80;5081;3611;8889;66;9;1;0;16628;9542;9031;-1111;-1503;1773;1
1098;1115;17;2293200;2293208;8;59;21;8;6318;97;118;21;1360;1;0;80;3603;5662;4706;125;8095;1;0;17708;12305;9031;-5294;-1634;2482;1
445;790;345;4569159;4569177;18;4307;361;123;361568;64;118;54;1360;1;0;100;6544;3064;522;2537;9557;1463;0;36342;25378;12553;-9478;-3442;1;1
360;998;638;4601186;4601217;31;11797;705;225;1290423;78;252;174;1358;1;0;100;5302;4035;486;4698;905;1378;0;40718;28048;14914;-9514;-1454;1;1
398;966;568;4615178;4615208;30;10166;593;166;1096472;78;141;63;1360;1;0;100;5794;4034;528;4177;9578;1807;0;40072;27543;14771;-9472;-1574;1;1
1163;1205;42;4639384;4639402;18;359;79;49;50750;130;158;28;1360;1;0;100;2279;5251;4286;309;5317;3674;0;25551;16233;12553;-5714;1044;9537;1
452;922;470;4652868;4652894;26;6670;501;171;724380;85;134;49;1356;1;0;100;6401;4542;553;3466;9381;1521;0;38241;26721;1415;-9447;-1515;1;1
779;923;144;4662945;4662964;19;981;187;105;111196;97;134;37;1360;1;0;100;6427;6414;1319;1059;77;181;0;29917;21584;12787;-8681;-1145;1;1
719;927;208;4689395;4689414;19;1535;239;120;173468;97;132;35;1358;1;0;100;6348;6116;913;1532;8703;1583;0;31861;23181;12787;-9086;-1171;1;1
59;1245;1186;4712084;4712115;31;15775;1275;276;1689009;61;135;74;1354;1;0;100;872;5709;261;8759;9302;1123;0;4198;30741;14914;-9739;-1635;1;1
435;729;294;4737382;4737394;12;1851;304;87;201109;91;132;41;1352;1;0;100;6435;4753;408;2175;9671;1379;0;32674;24683;10792;-9592;-1512;1;1
460;555;95;2161400;2161408;8;343;106;28;39231;105;127;22;1358;0;1;40;6775;5487;842;7;8962;2857;0;25353;19777;9031;-9158;-1064;9549;1
306;363;57;2184746;2184752;6;194;58;10;22315;105;134;29;1356;0;1;40;4513;4327;1053;42;9828;6;0;22878;17559;7782;-8947;-1014;5659;1
355;461;106;2203324;2203335;11;527;118;44;62384;110;134;24;1358;0;1;40;5228;548;1038;781;8983;25;0;27218;20253;10414;-8962;-752;9969;1
449;549;100;2212600;2212608;8;368;110;35;43968;111;133;22;1356;0;1;40;6622;54;8;737;9091;2286;0;25659;2;9031;-92;-666;965;1
525;565;40;2235737;2235743;6;130;44;17;15364;109;127;18;1362;0;1;40;7709;4583;15;294;9091;3529;0;21139;16021;7782;-85;-767;3977;1
395;443;48;2258772;2258779;7;226;50;18;25843;106;126;20;1360;0;1;40;5809;3274;1458;353;96;3889;0;23541;16812;8451;-8542;-1066;556;1
211;615;404;2277118;2277134;16;3256;417;106;345545;89;127;38;1356;0;1;40;3112;4963;396;2979;9688;1509;0;35127;26064;12041;-9604;-1709;1;1
284;357;73;2286293;2286298;5;202;73;17;24816;116;134;18;1360;0;1;40;4177;4466;685;537;1;2941;0;23054;18633;699;-9315;-402;6031;1
281;339;58;2295428;2295433;5;122;58;13;14877;116;134;18;1356;0;1;40;4144;5793;862;428;1;3846;0;20864;17634;699;-9138;-473;4796;1
950;977;27;2304542;2304550;8;119;30;12;14029;110;127;17;1356;0;1;40;559;4491;2963;199;9;6667;0;20756;14314;9031;-7037;-79;3601;1
1090;1129;39;2312033;2312039;6;111;45;19;12886;109;126;17;1358;0;1;40;3373;5256;1539;287;8667;3158;0;20453;15911;7782;-8461;-931;3882;1
795;802;7;96606;96620;14;55;10;14;11560;203;220;17;1387;0;1;40;8436;4388;5;5;7;1;1;17404;8451;11461;5;6421;204;1
902;936;34;31494;31567;73;1111;62;74;96340;50;108;58;1627;0;1;40;8494;5524;4658;209;5484;9865;1;30457;15315;18633;5343;-3225;1;1
1031;1058;27;68050;68092;42;665;41;42;63000;35;116;81;1627;0;1;40;6995;4136;6429;166;6585;1;1;28228;14314;16233;3571;-2599;9961;1
1073;1094;21;96615;96658;43;512;55;49;68556;127;141;14;1627;0;1;40;6552;433;4884;129;3818;8776;1;27093;13222;16335;5116;461;9821;1
753;820;67;141196;141297;101;2243;241;195;297086;122;142;20;1627;0;1;40;9256;6685;6634;412;278;5179;1;33508;18261;20043;3366;348;1;1
803;825;22;107491;107508;17;181;27;20;17363;84;109;25;1354;0;1;40;7814;516;7727;162;8148;85;0;22577;13424;12305;-2273;-2506;6173;1
1122;1139;17;2650780;2650795;15;144;20;16;14169;84;116;32;1646;1;0;80;616;4353;8824;103;85;9375;0;21584;12305;11761;-1177;-2313;4219;1
1170;1182;12;61060;61074;14;126;12;14;14727;103;127;24;1353;0;1;185;2528;25;8571;89;1;1;1;21004;10792;11461;1429;-869;2901;1
1094;1108;14;75122;75139;17;197;14;17;22098;89;132;43;1353;0;1;185;3622;1723;8235;104;1;1;1;22945;11461;12305;1765;-1236;3945;1
610;625;15;529042;529057;15;172;15;16;19997;101;127;26;1387;0;1;40;8796;2356;1;108;1;9375;5;22355;11761;11761;0;-917;374;1
662;670;8;781434;781444;10;66;10;10;7181;89;123;34;1687;1;0;80;7848;175;8;47;8;1;1;18195;9031;1;2;-15;1852;1
1550;1561;11;838654;838663;9;68;13;9;6216;80;103;23;1687;1;0;80;1494;3131;8182;65;8461;1;0;18325;10414;9542;-1818;-2858;2051;1
1043;1053;10;1082240;1082248;8;64;12;8;7296;97;132;35;1687;1;0;80;7516;2;8;59;8333;1;0;18062;1;9031;-2;-1094;1852;1
1068;1077;9;188817;188826;9;60;12;11;6735;99;127;28;1687;1;0;70;7232;2593;1;53;75;8182;5;17781;9542;9542;0;-123;1862;1
1080;1088;8;2136974;2136983;9;48;8;9;5418;98;132;34;1687;1;0;70;7101;3333;8889;47;1;1;1;16812;9031;9542;1111;-1182;1773;1
793;801;8;2533145;2533151;6;31;9;6;3476;99;121;22;1687;1;0;70;9401;3542;75;47;8889;1;0;14914;9031;7782;-25;-124;1551;1
1027;1036;9;2835787;2835797;10;69;11;10;7446;87;127;40;1687;1;0;70;7718;2333;9;53;8182;1;1;18389;9542;1;1;-1569;1954;1
1129;1140;11;335177;335188;11;87;18;11;9260;81;127;46;1687;1;0;100;6485;281;1;65;6111;1;5;19395;10414;10414;0;-1685;23;1
1049;1059;10;764081;764092;11;70;12;11;7279;82;125;43;1687;1;0;100;7445;3636;9091;59;8333;1;1;18451;1;10414;909;-1876;2173;1
299;307;8;853625;853638;13;85;12;13;10892;115;140;25;1687;1;0;100;3545;1827;6154;47;6667;1;1;19294;9031;11139;3846;11;2105;1
159;168;9;953888;953896;8;54;9;8;6942;116;143;27;1687;1;0;100;1885;25;8889;53;1;1;0;17324;9542;9031;-1111;43;1773;1
905;916;11;1046618;1046624;6;41;12;7;4162;88;117;29;1687;1;0;100;914;3788;5454;65;9167;8571;0;16128;10414;7782;-4545;-2069;1715;1
1605;1616;11;1116225;1116232;7;57;11;7;5464;82;108;26;1687;1;0;100;842;2597;6364;65;1;1;0;17559;10414;8451;-3636;-2511;1822;1
345;356;11;822292;822313;21;170;21;21;18503;82;127;45;1353;1;0;50;51;2641;5238;81;5238;1;1;22304;10414;13222;4762;-1497;3834;1
1173;1188;15;1072387;1072413;26;258;20;26;26729;77;122;45;1353;1;0;50;2439;3385;5769;111;75;1;1;24116;11761;1415;4231;-1906;6422;1
779;796;17;1198171;1198188;17;198;21;18;18327;54;118;64;1353;0;1;50;8234;3149;1;126;8095;9444;5;22967;12305;12305;0;-2769;4779;1
1029;1042;13;639361;639376;15;128;18;15;17802;132;150;18;1364;1;0;70;4721;3436;8667;95;7222;1;1;21072;11139;11761;1333;865;3285;1
989;1000;11;800963;800972;9;68;13;10;7457;91;125;34;1364;1;0;70;5337;3131;8182;81;8461;9;0;18325;10414;9542;-1818;-1433;2051;1
1170;1184;14;1038876;1038891;15;113;27;18;14982;125;142;17;1362;1;0;70;2614;4619;9333;103;5185;8333;1;20531;11461;11761;667;358;3509;1
754;770;16;1066700;1066722;22;212;20;22;21031;77;118;41;1362;1;0;70;8693;3977;7273;117;8;1;1;23263;12041;13424;2727;-225;5822;1
457;465;8;1087496;1087506;10;60;9;10;6750;92;134;42;1364;1;0;70;6701;25;8;59;8889;1;1;17781;9031;1;2;-1211;1852;1
760;772;12;1147869;1147880;11;99;18;11;9347;61;119;58;1362;1;0;70;8664;25;9167;88;6667;1;0;19956;10792;10414;-833;-2624;2432;1
512;524;12;1261077;1261088;11;74;15;11;8292;93;132;39;1364;1;0;70;7507;4394;9167;88;8;1;0;18692;10792;10414;-833;-1246;2432;1
1068;1083;15;1539081;1539097;16;101;27;17;13866;128;149;21;1366;1;0;70;4144;5792;9375;11;5556;9412;1;20043;11761;12041;625;726;3977;1
676;689;13;1974176;1974206;30;216;27;30;22418;93;119;26;1364;1;0;70;9897;4462;4333;95;4815;1;1;23345;11139;14771;5667;-1892;6422;1
338;348;10;2032058;2032067;9;57;11;9;6135;89;127;38;1364;1;0;70;4956;3667;9;73;9091;1;0;17559;1;9542;-1;-1591;1954;1
811;823;12;3096621;3096632;11;86;15;11;9203;91;124;33;1356;1;0;70;7861;3485;9167;88;8;1;0;19345;10792;10414;-833;-164;2432;1
655;672;17;4212846;4212863;17;210;18;17;20438;48;126;78;1650;1;0;69;7939;2734;1;103;9444;1;5;23222;12305;12305;0;-2397;4779;1
1151;1163;12;6042280;6042292;12;110;14;12;11674;73;133;60;1648;1;0;69;5886;2361;1;73;8571;1;5;20414;10792;10792;0;-1709;2583;1
1159;1169;10;301412;301420;8;66;12;8;7164;87;135;48;1690;1;0;150;6166;175;8;59;8333;1;0;18195;1;9031;-2;-152;1852;1
328;335;7;322285;322292;7;33;8;7;3806;102;134;32;1688;1;0;150;3886;3265;1;41;875;1;5;15185;8451;8451;0;-99;156;1
345;355;10;348556;348568;12;92;16;12;9704;71;132;61;1688;1;0;150;4088;2333;8333;59;625;1;1;19638;1;10792;1667;-176;2288;1
1032;1046;14;404761;404774;13;111;24;17;14697;118;143;25;1690;1;0;150;7621;3901;9286;83;5833;7647;0;20453;11461;11139;-714;344;3097;1
1115;1130;15;817076;817090;14;140;21;14;13836;58;135;77;1690;1;0;150;6627;3333;9333;89;7143;1;0;21461;11761;11461;-667;-2279;3509;1
1070;1079;9;863518;863529;11;74;13;11;7842;78;132;54;1652;1;0;100;6937;2525;8182;55;6923;1;1;18692;9542;10414;1818;-1721;2051;1
501;526;25;1986222;1986247;25;476;38;25;45968;40;141;101;1666;1;0;100;6014;2384;1;15;6579;1;5;26776;13979;13979;0;-2455;8958;1
1126;1134;8;2636449;2636459;10;59;11;10;6936;102;135;33;1656;1;0;100;6304;2625;8;48;7273;1;1;17708;9031;1;2;-816;1852;1
300;312;12;2665729;2665742;13;124;12;14;13351;85;125;40;1656;1;0;100;3623;2051;9231;72;1;9286;1;20934;10792;11139;769;-1588;2739;1
434;446;12;2688956;2688969;13;119;16;13;13108;81;132;51;1658;1;0;100;5235;2372;9231;72;75;1;1;20756;10792;11139;769;-1394;2739;1
776;818;42;447943;447992;49;1222;77;54;112240;36;116;80;1654;1;0;80;9383;4062;8571;254;5454;9074;1;30871;16233;16902;1429;-2824;1;1
640;650;10;629605;629613;8;64;12;8;7197;91;134;43;1656;1;0;80;7729;2;8;6;8333;1;0;18062;1;9031;-2;-1215;1852;1
1538;1549;11;789340;789352;12;100;13;12;9458;77;110;33;1652;1;0;80;1247;2424;9167;67;8461;1;1;2;10414;10792;833;-2611;2432;1
1505;1522;17;880521;880535;14;155;19;14;14729;71;114;43;1654;1;0;80;1596;3487;8235;103;8947;1;0;21903;12305;11461;-1765;-2576;3945;1
1527;1565;38;5331249;5331309;60;1284;68;61;116623;42;117;75;1648;1;0;80;1007;4368;6333;231;5588;9836;1;31086;15798;17781;3667;-2904;1;1
1155;1166;11;476876;476887;11;82;13;11;8745;77;133;56;1696;1;0;100;625;3223;1;65;8461;1;5;19138;10414;10414;0;-1668;23;1
171;182;11;1804039;1804048;9;69;12;9;8210;99;143;44;1688;1;0;100;2026;303;8182;65;9167;1;0;18389;10414;9542;-1818;-704;2051;1
144;152;8;127892;127903;11;68;10;11;8586;101;142;41;1618;1;0;70;178;2273;7273;49;8;1;1;18325;9031;10414;2727;-136;1934;1
1136;1150;14;4082892;4082910;18;191;17;18;22601;101;135;34;1666;0;1;40;6194;2421;7778;84;8235;1;1;2281;11461;12553;2222;-755;417;1
1505;1525;20;4373281;4373312;31;456;32;31;49848;92;124;32;1668;0;1;40;1715;2645;6452;12;625;1;1;2659;1301;14914;3548;-146;8927;1
1362;1372;10;4443762;4443777;15;114;14;15;12808;102;124;22;1666;0;1;40;3529;24;6667;6;7143;1;1;20569;1;11761;3333;-1223;266;1
789;797;8;54896;54905;9;55;10;9;6216;100;132;32;1362;0;1;175;8297;2361;8889;59;8;1;1;17404;9031;9542;1111;-117;1773;1
1151;1162;11;866291;866302;11;85;14;11;10211;111;134;23;1396;0;1;120;3352;2975;1;79;7857;1;5;19294;10414;10414;0;-615;23;1
599;608;9;2382642;2382651;9;54;12;9;6100;101;126;25;1360;0;1;40;8809;3333;1;66;75;1;5;17324;9542;9542;0;-1175;1862;1
1118;1130;12;2673603;2673616;13;118;16;13;14120;103;253;150;1358;0;1;40;3358;2436;9231;88;75;1;1;20719;10792;11139;769;-652;2739;1
220;229;9;3094414;3094424;10;54;10;10;6091;104;124;20;1692;0;1;70;26;4;9;53;9;1;1;17324;9542;1;1;-1188;1954;1
843;852;9;6712;6724;12;98;14;12;9016;82;102;20;1356;0;1;40;7434;926;75;66;6429;1;1;19912;9542;10792;25;-2813;215;1
1219;1231;12;701105;701126;21;183;19;21;19652;91;126;35;1358;0;1;40;187;2738;5714;88;6316;1;1;22624;10792;13222;4286;-161;417;1
782;804;22;798878;798912;34;576;34;34;61342;84;133;49;1362;0;1;40;8194;2299;6471;161;6471;1;1;27604;13424;15315;3529;-168;9513;1
1167;1192;25;294065;294091;26;451;33;27;42862;25;132;107;1354;0;1;40;2393;3061;9615;185;7576;963;1;26542;13979;1415;385;-2575;9104;1
642;658;16;96252;96269;17;194;17;17;21009;77;134;57;1694;1;0;80;758;2868;9412;94;9412;1;1;22878;12041;12305;588;-154;4498;1
1123;1133;10;94662;94672;10;73;11;10;6734;70;109;39;1694;0;1;60;6623;27;1;59;9091;1;5;18633;1;1;0;-2793;2061;1
279;290;11;119026;119036;10;86;15;10;7987;73;109;36;1694;0;1;60;3294;2182;9091;65;7333;1;0;19345;10414;1;-909;-2744;2173;1
1202;1216;14;289529;289543;14;137;15;15;16692;109;134;25;1692;0;1;60;5627;301;1;83;9333;9333;5;21367;11461;11461;0;-481;33;1
747;758;11;949136;949144;8;71;14;8;7768;96;126;30;1698;0;1;60;8799;1932;7273;65;7857;1;0;18513;10414;9031;-2727;-1452;1934;1
799;806;7;1029590;1029596;6;33;9;6;3751;105;126;21;1698;0;1;60;9411;2143;8571;41;7778;1;0;15185;8451;7782;-1429;-112;1499;1
485;493;8;1105756;1105768;12;75;11;12;8268;91;125;34;1696;0;1;60;5719;2188;6667;47;7273;1;1;18751;9031;10792;3333;-1388;2018;1
619;628;9;1126672;1126680;8;59;12;8;6638;95;127;32;1696;0;1;60;73;1806;8889;53;75;1;0;17708;9542;9031;-1111;-121;1773;1
365;396;31;3866538;3866570;32;638;44;36;56456;53;126;73;1364;1;0;80;5352;3568;9688;227;7046;8889;1;28048;14914;15051;313;-3087;99;1
1106;1116;10;2371582;2371598;16;106;12;16;12311;107;125;18;1358;0;1;40;3564;3375;625;74;8333;1;1;20253;1;12041;375;-926;2792;1
1123;1137;14;11066410;11066424;14;143;20;14;16288;96;127;31;1362;0;1;40;3304;2704;1;103;7;1;5;21553;11461;11461;0;-1101;33;1
1125;1142;17;11499942;11499957;15;178;19;16;20778;105;132;27;1360;0;1;40;3206;302;8824;125;8947;9375;0;22504;12305;11761;-1177;-88;4219;1
810;824;14;11569824;11569844;20;190;18;20;22158;102;132;30;1360;0;1;40;7882;3214;7;103;7778;1;1;22787;11461;1301;3;-889;463;1
1135;1162;27;12416454;12416473;19;305;33;27;34579;80;127;47;1360;0;1;40;2912;4055;7037;199;8182;7037;0;24843;14314;12787;-2963;-1143;803;1
